,n,MAPE,Signed_PE,Mean_Actual,Mean_Predicted
low,10381.0,5.784996946209792,0.6081454168746382,8849.993545901165,8831.540162057532
high,82.0,15.905505507460846,-12.301063370163076,31389.963414634145,26381.315105010257
