,R2,RMSE,MAE,MAPE,Accuracy_100_minus_MAPE,RMSLE,Within_5pct,Within_10pct,Within_20pct
lightgbm,0.9136318828197042,1359.0490916156607,589.5790234088628,6.3994830519413055,93.6005169480587,0.10535522443389993,59.91589410302972,81.39157029532639,94.29417948963012
xgboost,0.9110406893012812,1379.2853491190488,597.9383702759528,6.8590078035456195,93.14099219645438,0.11816968799891608,59.75341680206442,79.14556054668833,91.89524992831883
catboost,0.9107224915833259,1381.7499235749428,588.0933891724725,6.370444778660595,93.6295552213394,0.10452214028564084,59.38067475867342,81.21953550606901,94.33240944279844
random_forest,0.9035121177930718,1436.46419619935,563.6306585107836,6.107902327979662,93.89209767202034,0.10889285564367246,63.060307751123,81.53493261970755,93.59648284430851
extra_trees,0.9130424547876097,1363.6786908814668,525.736669475516,5.704545928165058,94.29545407183494,0.10682982899230963,66.66348083723598,82.82519353913791,93.77807512185797
simple_average,0.9150516635221803,1347.8322940897208,547.8626201234105,6.003901375606114,93.99609862439388,0.10346410946132788,62.94561789161808,82.86342349230623,94.40886934913505
ridge_stack,0.916465961313166,1336.5652272412144,541.7399292852191,5.864312792718689,94.13568720728131,0.10214406385880213,64.67552327248399,83.45598776641498,94.55223167351619
mae_blend,0.9130424547876116,1363.6786908814522,525.7366694755203,5.7045459281650635,94.29545407183494,0.10682982899230627,66.66348083723598,82.82519353913791,93.77807512185797
stacked_ensemble,0.916465961313166,1336.5652272412144,541.7399292852191,5.864312792718689,94.13568720728131,0.10214406385880213,64.67552327248399,83.45598776641498,94.55223167351619
calibrated,0.9151766025083948,1346.8407575218832,548.6942178604173,5.915183938250246,94.08481606174975,0.1028314782399889,63.83446430278122,83.09280321131607,94.3037369779222
